-------------START AVALIABLE PAYLOADS------------

Framework Payloads (1706 total) [--payload <value>]
===================================================

    Name                                                               Description
    cmd/linux/tftp/armle/chmod                                         Fetch and execute an ARMLE payload from a TFTP server. Runs chmod on the specified file with specified mode.
    cmd/linux/tftp/armle/exec                                          Fetch and execute an ARMLE payload from a TFTP server. Execute an arbitrary command
    cmd/linux/tftp/armle/meterpreter/bind_tcp                          Fetch and execute an ARMLE payload from a TFTP server. Listen for a connection
    cmd/linux/tftp/armle/meterpreter/reverse_tcp                       Fetch and execute an ARMLE payload from a TFTP server. Connect back to the attacker
    cmd/linux/tftp/armle/meterpreter_reverse_http                      Fetch and execute an ARMLE payload from a TFTP server.
    cmd/linux/tftp/armle/meterpreter_reverse_https                     Fetch and execute an ARMLE payload from a TFTP server.
    cmd/linux/tftp/armle/meterpreter_reverse_tcp                       Fetch and execute an ARMLE payload from a TFTP server.
    cmd/linux/tftp/armle/shell/bind_tcp                                Fetch and execute an ARMLE payload from a TFTP server. dup2 socket in r12, then execve. Listen for a connection
    cmd/linux/tftp/armle/shell/reverse_tcp                             Fetch and execute an ARMLE payload from a TFTP server. dup2 socket in r12, then execve. Connect back to the attacker
    cmd/linux/tftp/armle/shell_bind_tcp                                Fetch and execute an ARMLE payload from a TFTP server. Connect to target and spawn a command shell
    cmd/linux/tftp/armle/shell_reverse_tcp                             Fetch and execute an ARMLE payload from a TFTP server. Connect back to attacker and spawn a command shell
    cmd/linux/tftp/mips64/meterpreter_reverse_http                     Fetch and execute a MIPS64 payload from a TFTP server.
    cmd/linux/tftp/mips64/meterpreter_reverse_https                    Fetch and execute a MIPS64 payload from a TFTP server.
    cmd/linux/tftp/mips64/meterpreter_reverse_tcp                      Fetch and execute a MIPS64 payload from a TFTP server.
    cmd/linux/tftp/mipsbe/exec                                         Fetch and execute an MIPSBE payload from a TFTP server. A very small shellcode for executing commands. This module is sometimes helpful for testing purposes.
    cmd/linux/tftp/mipsbe/meterpreter/reverse_tcp                      Fetch and execute an MIPSBE payload from a TFTP server. Connect back to the attacker
    cmd/linux/tftp/mipsbe/meterpreter_reverse_http                     Fetch and execute an MIPSBE payload from a TFTP server.
    cmd/linux/tftp/mipsbe/meterpreter_reverse_https                    Fetch and execute an MIPSBE payload from a TFTP server.
    cmd/linux/tftp/mipsbe/meterpreter_reverse_tcp                      Fetch and execute an MIPSBE payload from a TFTP server.
    cmd/linux/tftp/mipsbe/reboot                                       Fetch and execute an MIPSBE payload from a TFTP server. A very small shellcode for rebooting the system. This payload is sometimes helpful for testing purposes or executing other payloads that rely on initial startup procedures. Requires CAP_SYS_BOOT privileges.
    cmd/linux/tftp/mipsbe/shell/reverse_tcp                            Fetch and execute an MIPSBE payload from a TFTP server. Spawn a command shell (staged). Connect back to the attacker
    cmd/linux/tftp/mipsbe/shell_bind_tcp                               Fetch and execute an MIPSBE payload from a TFTP server. Listen for a connection and spawn a command shell
    cmd/linux/tftp/mipsbe/shell_reverse_tcp                            Fetch and execute an MIPSBE payload from a TFTP server. Connect back to attacker and spawn a command shell
    cmd/linux/tftp/mipsle/exec                                         Fetch and execute an MIPSLE payload from a TFTP server. A very small shellcode for executing commands. This module is sometimes helpful for testing purposes as well as on targets with extremely limited buffer space.
    cmd/linux/tftp/mipsle/meterpreter/reverse_tcp                      Fetch and execute an MIPSLE payload from a TFTP server. Connect back to the attacker
    cmd/linux/tftp/mipsle/meterpreter_reverse_http                     Fetch and execute an MIPSLE payload from a TFTP server.
    cmd/linux/tftp/mipsle/meterpreter_reverse_https                    Fetch and execute an MIPSLE payload from a TFTP server.
    cmd/linux/tftp/mipsle/meterpreter_reverse_tcp                      Fetch and execute an MIPSLE payload from a TFTP server.
    cmd/linux/tftp/mipsle/reboot                                       Fetch and execute an MIPSLE payload from a TFTP server. A very small shellcode for rebooting the system using the reboot syscall. This payload is sometimes helpful for testing purposes. Requires CAP_SYS_BOOT privileges.
    cmd/linux/tftp/mipsle/shell/reverse_tcp                            Fetch and execute an MIPSLE payload from a TFTP server. Spawn a command shell (staged). Connect back to the attacker
    cmd/linux/tftp/mipsle/shell_bind_tcp                               Fetch and execute an MIPSLE payload from a TFTP server. Listen for a connection and spawn a command shell
    cmd/linux/tftp/mipsle/shell_reverse_tcp                            Fetch and execute an MIPSLE payload from a TFTP server. Connect back to attacker and spawn a command shell
    cmd/linux/tftp/ppc/shell_bind_tcp                                  Fetch and execute an PPC payload from an TFTP server. Listen for a connection and spawn a command shell
    cmd/linux/tftp/ppc/shell_find_port                                 Fetch and execute an PPC payload from an TFTP server. Spawn a shell on an established connection
    cmd/linux/tftp/ppc/shell_reverse_tcp                               Fetch and execute an PPC payload from an TFTP server. Connect back to attacker and spawn a command shell
    cmd/linux/tftp/ppc64/shell_bind_tcp                                Fetch and execute an PPC64 payload from a TFTP server. Listen for a connection and spawn a command shell
    cmd/linux/tftp/ppc64/shell_find_port                               Fetch and execute an PPC64 payload from a TFTP server. Spawn a shell on an established connection
    cmd/linux/tftp/ppc64/shell_reverse_tcp                             Fetch and execute an PPC64 payload from a TFTP server. Connect back to attacker and spawn a command shell
    cmd/linux/tftp/riscv32le/chmod                                     Fetch and execute an RISC-V 32-bit payload from a TFTP server. Runs chmod on the specified file with specified mode.
    cmd/linux/tftp/riscv32le/exec                                      Fetch and execute an RISC-V 32-bit payload from a TFTP server. Execute an arbitrary command
    cmd/linux/tftp/riscv32le/reboot                                    Fetch and execute an RISC-V 32-bit payload from a TFTP server. A very small shellcode for rebooting the system using the reboot syscall. This payload is sometimes helpful for testing purposes. Requires CAP_SYS_BOOT privileges.
    cmd/linux/tftp/riscv32le/shell_bind_tcp                            Fetch and execute an RISC-V 32-bit payload from a TFTP server. Listen for a connection and spawn a command shell
    cmd/linux/tftp/riscv32le/shell_reverse_tcp                         Fetch and execute an RISC-V 32-bit payload from a TFTP server. Connect back to attacker and spawn a command shell.
    cmd/linux/tftp/riscv64le/chmod                                     Fetch and execute an RISC-V 64-bit payload from a TFTP server. Runs chmod on the specified file with specified mode.
    cmd/linux/tftp/riscv64le/exec                                      Fetch and execute an RISC-V 64-bit payload from a TFTP server. Execute an arbitrary command
    cmd/linux/tftp/riscv64le/reboot                                    Fetch and execute an RISC-V 64-bit payload from a TFTP server. A very small shellcode for rebooting the system using the reboot syscall. This payload is sometimes helpful for testing purposes. Requires CAP_SYS_BOOT privileges.
    cmd/linux/tftp/riscv64le/shell_bind_tcp                            Fetch and execute an RISC-V 64-bit payload from a TFTP server. Listen for a connection and spawn a command shell
    cmd/linux/tftp/riscv64le/shell_reverse_tcp                         Fetch and execute an RISC-V 64-bit payload from a TFTP server. Connect back to attacker and spawn a command shell.
    cmd/linux/tftp/x64/exec                                            Fetch and execute an x64 payload from a TFTP server. Execute an arbitrary command or just a /bin/sh shell
    cmd/linux/tftp/x64/meterpreter/bind_tcp                            Fetch and execute an x64 payload from a TFTP server. Listen for a connection
    cmd/linux/tftp/x64/meterpreter/reverse_sctp                        Fetch and execute an x64 payload from a TFTP server. Connect back to the attacker
    cmd/linux/tftp/x64/meterpreter/reverse_tcp                         Fetch and execute an x64 payload from a TFTP server. Connect back to the attacker
    cmd/linux/tftp/x64/meterpreter_reverse_http                        Fetch and execute an x64 payload from a TFTP server.
    cmd/linux/tftp/x64/meterpreter_reverse_https                       Fetch and execute an x64 payload from a TFTP server.
    cmd/linux/tftp/x64/meterpreter_reverse_tcp                         Fetch and execute an x64 payload from a TFTP server.
    cmd/linux/tftp/x64/pingback_bind_tcp                               Fetch and execute an x64 payload from a TFTP server. Accept a connection from attacker and report UUID (Linux x64)
    cmd/linux/tftp/x64/pingback_reverse_tcp                            Fetch and execute an x64 payload from a TFTP server. Connect back to attacker and report UUID (Linux x64)
    cmd/linux/tftp/x64/set_hostname                                    Fetch and execute an x64 payload from a TFTP server.
    cmd/linux/tftp/x64/shell/bind_tcp                                  Fetch and execute an x64 payload from a TFTP server. Spawn a command shell (staged). Listen for a connection
    cmd/linux/tftp/x64/shell/reverse_sctp                              Fetch and execute an x64 payload from a TFTP server. Spawn a command shell (staged). Connect back to the attacker
    cmd/linux/tftp/x64/shell/reverse_tcp                               Fetch and execute an x64 payload from a TFTP server. Spawn a command shell (staged). Connect back to the attacker
    cmd/linux/tftp/x64/shell_bind_ipv6_tcp                             Fetch and execute an x64 payload from a TFTP server. Listen for an IPv6 connection and spawn a command shell
    cmd/linux/tftp/x64/shell_bind_tcp                                  Fetch and execute an x64 payload from a TFTP server. Listen for a connection and spawn a command shell
    cmd/linux/tftp/x64/shell_bind_tcp_random_port                      Fetch and execute an x64 payload from a TFTP server. Listen for a connection in a random port and spawn a command shell. Use nmap to discover the open port: 'nmap -sS target -p-'.
    cmd/linux/tftp/x64/shell_find_port                                 Fetch and execute an x64 payload from a TFTP server. Spawn a shell on an established connection
    cmd/linux/tftp/x64/shell_reverse_ipv6_tcp                          Fetch and execute an x64 payload from a TFTP server. Connect back to attacker and spawn a command shell over IPv6
    cmd/linux/tftp/x64/shell_reverse_tcp                               Fetch and execute an x64 payload from a TFTP server. Connect back to attacker and spawn a command shell
    cmd/linux/tftp/x86/adduser                                         Fetch and execute a x86 payload from a TFTP server. Create a new user with UID 0
    cmd/linux/tftp/x86/chmod                                           Fetch and execute a x86 payload from a TFTP server. Runs chmod on specified file with specified mode
    cmd/linux/tftp/x86/exec                                            Fetch and execute a x86 payload from a TFTP server. Execute an arbitrary command or just a /bin/sh shell
    cmd/linux/tftp/x86/generic/debug_trap                              Fetch and execute a x86 payload from a TFTP server. Generate a debug trap in the target process
    cmd/linux/tftp/x86/generic/tight_loop                              Fetch and execute a x86 payload from a TFTP server. Generate a tight loop in the target process
    cmd/linux/tftp/x86/meterpreter/bind_ipv6_tcp                       Fetch and execute a x86 payload from a TFTP server. Listen for an IPv6 connection (Linux x86)
    cmd/linux/tftp/x86/meterpreter/bind_ipv6_tcp_uuid                  Fetch and execute a x86 payload from a TFTP server. Listen for an IPv6 connection with UUID Support (Linux x86)
    cmd/linux/tftp/x86/meterpreter/bind_nonx_tcp                       Fetch and execute a x86 payload from a TFTP server. Listen for a connection
    cmd/linux/tftp/x86/meterpreter/bind_tcp                            Fetch and execute a x86 payload from a TFTP server. Listen for a connection (Linux x86)
    cmd/linux/tftp/x86/meterpreter/bind_tcp_uuid                       Fetch and execute a x86 payload from a TFTP server. Listen for a connection with UUID Support (Linux x86)
    cmd/linux/tftp/x86/meterpreter/find_tag                            Fetch and execute a x86 payload from a TFTP server. Use an established connection
    cmd/linux/tftp/x86/meterpreter/reverse_ipv6_tcp                    Fetch and execute a x86 payload from a TFTP server. Connect back to attacker over IPv6
    cmd/linux/tftp/x86/meterpreter/reverse_nonx_tcp                    Fetch and execute a x86 payload from a TFTP server. Connect back to the attacker
    cmd/linux/tftp/x86/meterpreter/reverse_tcp                         Fetch and execute a x86 payload from a TFTP server. Connect back to the attacker
    cmd/linux/tftp/x86/meterpreter/reverse_tcp_uuid                    Fetch and execute a x86 payload from a TFTP server. Connect back to the attacker
    cmd/linux/tftp/x86/meterpreter_reverse_http                        Fetch and execute a x86 payload from a TFTP server.
    cmd/linux/tftp/x86/meterpreter_reverse_https                       Fetch and execute a x86 payload from a TFTP server.
    cmd/linux/tftp/x86/meterpreter_reverse_tcp                         Fetch and execute a x86 payload from a TFTP server.
    cmd/linux/tftp/x86/metsvc_bind_tcp                                 Fetch and execute a x86 payload from a TFTP server. Stub payload for interacting with a Meterpreter Service
    cmd/linux/tftp/x86/metsvc_reverse_tcp                              Fetch and execute a x86 payload from a TFTP server. Stub payload for interacting with a Meterpreter Service
    cmd/linux/tftp/x86/read_file                                       Fetch and execute a x86 payload from a TFTP server. Read up to 4096 bytes from the local file system and write it back out to the specified file descriptor
    cmd/linux/tftp/x86/shell/bind_ipv6_tcp                             Fetch and execute a x86 payload from a TFTP server. Spawn a command shell (staged). Listen for an IPv6 connection (Linux x86)
    cmd/linux/tftp/x86/shell/bind_ipv6_tcp_uuid                        Fetch and execute a x86 payload from a TFTP server. Spawn a command shell (staged). Listen for an IPv6 connection with UUID Support (Linux x86)
    cmd/linux/tftp/x86/shell/bind_nonx_tcp                             Fetch and execute a x86 payload from a TFTP server. Spawn a command shell (staged). Listen for a connection
    cmd/linux/tftp/x86/shell/bind_tcp                                  Fetch and execute a x86 payload from a TFTP server. Spawn a command shell (staged). Listen for a connection (Linux x86)
    cmd/linux/tftp/x86/shell/bind_tcp_uuid                             Fetch and execute a x86 payload from a TFTP server. Spawn a command shell (staged). Listen for a connection with UUID Support (Linux x86)
    cmd/linux/tftp/x86/shell/find_tag                                  Fetch and execute a x86 payload from a TFTP server. Spawn a command shell (staged). Use an established connection
    cmd/linux/tftp/x86/shell/reverse_ipv6_tcp                          Fetch and execute a x86 payload from a TFTP server. Spawn a command shell (staged). Connect back to attacker over IPv6
    cmd/linux/tftp/x86/shell/reverse_nonx_tcp                          Fetch and execute a x86 payload from a TFTP server. Spawn a command shell (staged). Connect back to the attacker
    cmd/linux/tftp/x86/shell/reverse_tcp                               Fetch and execute a x86 payload from a TFTP server. Spawn a command shell (staged). Connect back to the attacker
    cmd/linux/tftp/x86/shell/reverse_tcp_uuid                          Fetch and execute a x86 payload from a TFTP server. Spawn a command shell (staged). Connect back to the attacker
    cmd/linux/tftp/x86/shell_bind_ipv6_tcp                             Fetch and execute a x86 payload from a TFTP server. Listen for a connection over IPv6 and spawn a command shell
    cmd/linux/tftp/x86/shell_bind_tcp                                  Fetch and execute a x86 payload from a TFTP server. Listen for a connection and spawn a command shell
    cmd/linux/tftp/x86/shell_bind_tcp_random_port                      Fetch and execute a x86 payload from a TFTP server. Listen for a connection in a random port and spawn a command shell. Use nmap to discover the open port: 'nmap -sS target -p-'.
    cmd/linux/tftp/x86/shell_find_port                                 Fetch and execute a x86 payload from a TFTP server. Spawn a shell on an established connection
    cmd/linux/tftp/x86/shell_find_tag                                  Fetch and execute a x86 payload from a TFTP server. Spawn a shell on an established connection (proxy/NAT safe)
    cmd/linux/tftp/x86/shell_reverse_tcp                               Fetch and execute a x86 payload from a TFTP server. Connect back to attacker and spawn a command shell
    cmd/linux/tftp/x86/shell_reverse_tcp_ipv6                          Fetch and execute a x86 payload from a TFTP server. Connect back to attacker and spawn a command shell over IPv6
    cmd/mainframe/apf_privesc_jcl                                      Elevate privileges for user. Adds SYSTEM SPECIAL and BPX.SUPERUSER to user profile. Does this by using an unsecured/updateable APF authorized library (APFLIB) and updating the user's ACEE using this program/library. Note: This privesc only works with z/OS systems using RACF, no other ESM is supported.
    cmd/mainframe/bind_shell_jcl                                       Provide JCL which creates a bind shell This implementation does not include ebcdic character translation, so a client with translation capabilities is required. MSF handles this automatically.
    cmd/mainframe/generic_jcl                                          Provide JCL which can be used to submit a job to JES2 on z/OS which will exit and return 0. This can be used as a template for other JCL based payloads
    cmd/mainframe/reverse_shell_jcl                                    Provide JCL which creates a reverse shell This implementation does not include ebcdic character translation, so a client with translation capabilities is required. MSF handles this automatically.
    cmd/unix/adduser                                                   Creates a new user. By default the new user is set with sudo but other options exist to make the new user automatically root but this is not automatically set since the new user will be treated as root (and login may be difficult). The new user can also be set as just a standard user if desired.
    cmd/unix/bind_awk                                                  Listen for a connection and spawn a command shell via GNU AWK
    cmd/unix/bind_aws_instance_connect                                 Creates an SSH shell using AWS Instance Connect
    cmd/unix/bind_busybox_telnetd                                      Listen for a connection and spawn a command shell via BusyBox telnetd
    cmd/unix/bind_inetd                                                Listen for a connection and spawn a command shell (persistent)
    cmd/unix/bind_jjs                                                  Listen for a connection and spawn a command shell via jjs
    cmd/unix/bind_lua                                                  Listen for a connection and spawn a command shell via Lua
    cmd/unix/bind_netcat                                               Listen for a connection and spawn a command shell via netcat
    cmd/unix/bind_netcat_gaping                                        Listen for a connection and spawn a command shell via netcat
    cmd/unix/bind_netcat_gaping_ipv6                                   Listen for a connection and spawn a command shell via netcat
    cmd/unix/bind_nodejs                                               Continually listen for a connection and spawn a command shell via nodejs
    cmd/unix/bind_perl                                                 Listen for a connection and spawn a command shell via perl
    cmd/unix/bind_perl_ipv6                                            Listen for a connection and spawn a command shell via perl
    cmd/unix/bind_r                                                    Continually listen for a connection and spawn a command shell via R
    cmd/unix/bind_ruby                                                 Continually listen for a connection and spawn a command shell via Ruby
    cmd/unix/bind_ruby_ipv6                                            Continually listen for a connection and spawn a command shell via Ruby
    cmd/unix/bind_socat_sctp                                           Creates an interactive shell via socat
    cmd/unix/bind_socat_udp                                            Creates an interactive shell via socat
    cmd/unix/bind_stub                                                 Listen for a connection and spawn a command shell (stub only, no payload)
    cmd/unix/bind_zsh                                                  Listen for a connection and spawn a command shell via Zsh. Note: Although Zsh is often available, please be aware it isn't usually installed by default.
    cmd/unix/generic                                                   Executes the supplied command
    cmd/unix/interact                                                  Interacts with a shell on an established socket connection
    cmd/unix/php/bind_php                                              Execute a PHP payload as an OS command from a Posix-compatible shell. Listen for a connection and spawn a command shell via php
    cmd/unix/php/bind_php_ipv6                                         Execute a PHP payload as an OS command from a Posix-compatible shell. Listen for a connection and spawn a command shell via php (IPv6)
    cmd/unix/php/download_exec                                         Execute a PHP payload as an OS command from a Posix-compatible shell
    cmd/unix/php/exec                                                  Execute a PHP payload as an OS command from a Posix-compatible shell. Execute a single system command
    cmd/unix/php/meterpreter/bind_tcp                                  Execute a PHP payload as an OS command from a Posix-compatible shell. Run a meterpreter server in PHP. Listen for a connection
    cmd/unix/php/meterpreter/bind_tcp_ipv6                             Execute a PHP payload as an OS command from a Posix-compatible shell. Run a meterpreter server in PHP. Listen for a connection over IPv6
    cmd/unix/php/meterpreter/bind_tcp_ipv6_uuid                        Execute a PHP payload as an OS command from a Posix-compatible shell. Run a meterpreter server in PHP. Listen for a connection over IPv6 with UUID Support
    cmd/unix/php/meterpreter/bind_tcp_uuid                             Execute a PHP payload as an OS command from a Posix-compatible shell. Run a meterpreter server in PHP. Listen for a connection with UUID Support
    cmd/unix/php/meterpreter/reverse_tcp                               Execute a PHP payload as an OS command from a Posix-compatible shell. Run a meterpreter server in PHP. Reverse PHP connect back stager with checks for disabled functions
    cmd/unix/php/meterpreter/reverse_tcp_uuid                          Execute a PHP payload as an OS command from a Posix-compatible shell. Run a meterpreter server in PHP. Reverse PHP connect back stager with checks for disabled functions
    cmd/unix/php/meterpreter_reverse_tcp                               Execute a PHP payload as an OS command from a Posix-compatible shell
    cmd/unix/php/reverse_php                                           Execute a PHP payload as an OS command from a Posix-compatible shell. Reverse PHP connect back shell with checks for disabled functions
    cmd/unix/php/shell_findsock                                        Execute a PHP payload as an OS command from a Posix-compatible shell. Spawn a shell on the established connection to the webserver. Unfortunately, this payload can leave conspicuous evil-looking entries in the apache error logs, so it is probably a good idea to use a bind or reverse shell unless firewalls prevent them from working. The issue this payload takes advantage of (CLOEXEC flag not set on sockets) appears to have been patched on the Ubuntu version of Apache and may not work on other Debian-based distributions. Only tested on Apache but it might work on other web servers that leak file descriptors to child processes.
    cmd/unix/pingback_bind                                             Accept a connection, send a UUID, then exit
    cmd/unix/pingback_reverse                                          Creates a socket, send a UUID, then exit
    cmd/unix/python/exec                                               Execute a Python payload as an OS command from a Posix-compatible shell. Execute an arbitrary OS command. Compatible with Python 2.7 and 3.4+.
    cmd/unix/python/meterpreter/bind_tcp                               Execute a Python payload as an OS command from a Posix-compatible shell. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Listen for a connection
    cmd/unix/python/meterpreter/bind_tcp_uuid                          Execute a Python payload as an OS command from a Posix-compatible shell. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Listen for a connection with UUID Support
    cmd/unix/python/meterpreter/reverse_http                           Execute a Python payload as an OS command from a Posix-compatible shell. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Tunnel communication over HTTP
    cmd/unix/python/meterpreter/reverse_https                          Execute a Python payload as an OS command from a Posix-compatible shell. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Tunnel communication over HTTP using SSL
    cmd/unix/python/meterpreter/reverse_tcp                            Execute a Python payload as an OS command from a Posix-compatible shell. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Connect back to the attacker
    cmd/unix/python/meterpreter/reverse_tcp_ssl                        Execute a Python payload as an OS command from a Posix-compatible shell. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Reverse Python connect back stager using SSL
    cmd/unix/python/meterpreter/reverse_tcp_uuid                       Execute a Python payload as an OS command from a Posix-compatible shell. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Connect back to the attacker with UUID Support
    cmd/unix/python/meterpreter_bind_tcp                               Execute a Python payload as an OS command from a Posix-compatible shell. Connect to the victim and spawn a Meterpreter shell
    cmd/unix/python/meterpreter_reverse_http                           Execute a Python payload as an OS command from a Posix-compatible shell. Connect back to the attacker and spawn a Meterpreter shell
    cmd/unix/python/meterpreter_reverse_https                          Execute a Python payload as an OS command from a Posix-compatible shell. Connect back to the attacker and spawn a Meterpreter shell
    cmd/unix/python/meterpreter_reverse_tcp                            Execute a Python payload as an OS command from a Posix-compatible shell. Connect back to the attacker and spawn a Meterpreter shell
    cmd/unix/python/pingback_bind_tcp                                  Execute a Python payload as an OS command from a Posix-compatible shell. Listens for a connection from the attacker, sends a UUID, then terminates
    cmd/unix/python/pingback_reverse_tcp                               Execute a Python payload as an OS command from a Posix-compatible shell. Connects back to the attacker, sends a UUID, then terminates
    cmd/unix/python/shell_bind_tcp                                     Execute a Python payload as an OS command from a Posix-compatible shell. Creates an interactive shell via Python, encodes with base64 by design. Compatible with Python 2.4-2.7 and 3.4+.
    cmd/unix/python/shell_reverse_sctp                                 Execute a Python payload as an OS command from a Posix-compatible shell. Creates an interactive shell via Python, encodes with base64 by design. Compatible with Python 2.6-2.7 and 3.4+.
    cmd/unix/python/shell_reverse_tcp                                  Execute a Python payload as an OS command from a Posix-compatible shell. Creates an interactive shell via Python, encodes with base64 by design. Compatible with Python 2.4-2.7 and 3.4+.
    cmd/unix/python/shell_reverse_tcp_ssl                              Execute a Python payload as an OS command from a Posix-compatible shell. Creates an interactive shell via Python, uses SSL, encodes with base64 by design. Compatible with Python 2.6-2.7 and 3.4+.
    cmd/unix/python/shell_reverse_udp                                  Execute a Python payload as an OS command from a Posix-compatible shell. Creates an interactive shell via Python, encodes with base64 by design. Compatible with Python 2.6-2.7 and 3.4+.
    cmd/unix/reverse                                                   Creates an interactive shell through two inbound connections
    cmd/unix/reverse_awk                                               Creates an interactive shell via GNU AWK
    cmd/unix/reverse_bash                                              Creates an interactive shell via bash's builtin /dev/tcp. This will not work on circa 2009 and older Debian-based Linux distributions (including Ubuntu) because they compile bash without the /dev/tcp feature.
    cmd/unix/reverse_bash_telnet_ssl                                   Creates an interactive shell via mkfifo and telnet. This method works on Debian and other systems compiled without /dev/tcp support. This module uses the '-z' option included on some systems to encrypt using SSL.
    cmd/unix/reverse_bash_udp                                          Creates an interactive shell via bash's builtin /dev/udp. This will not work on circa 2009 and older Debian-based Linux distributions (including Ubuntu) because they compile bash without the /dev/udp feature.
    cmd/unix/reverse_jjs                                               Connect back and create a command shell via jjs
    cmd/unix/reverse_ksh                                               Connect back and create a command shell via Ksh. Note: Although Ksh is often available, please be aware it isn't usually installed by default.
    cmd/unix/reverse_lua                                               Creates an interactive shell via Lua
    cmd/unix/reverse_ncat_ssl                                          Creates an interactive shell via ncat, utilizing ssl mode
    cmd/unix/reverse_netcat                                            Creates an interactive shell via netcat
    cmd/unix/reverse_netcat_gaping                                     Creates an interactive shell via netcat
    cmd/unix/reverse_nodejs                                            Continually listen for a connection and spawn a command shell via nodejs
    cmd/unix/reverse_openssl                                           Creates an interactive shell through two inbound connections
    cmd/unix/reverse_perl                                              Creates an interactive shell via perl
    cmd/unix/reverse_perl_ssl                                          Creates an interactive shell via perl, uses SSL
    cmd/unix/reverse_php_ssl                                           Creates an interactive shell via php, uses SSL
    cmd/unix/reverse_python                                            Connect back and create a command shell via Python
    cmd/unix/reverse_python_ssl                                        Creates an interactive shell via python, uses SSL, encodes with base64 by design.
    cmd/unix/reverse_r                                                 Connect back and create a command shell via R
    cmd/unix/reverse_ruby                                              Connect back and create a command shell via Ruby
    cmd/unix/reverse_ruby_ssl                                          Connect back and create a command shell via Ruby, uses SSL
    cmd/unix/reverse_socat_sctp                                        Creates an interactive shell via socat
    cmd/unix/reverse_socat_tcp                                         Creates an interactive shell via socat
    cmd/unix/reverse_socat_udp                                         Creates an interactive shell via socat
    cmd/unix/reverse_ssh                                               Connect back and create a command shell via SSH
    cmd/unix/reverse_ssl_double_telnet                                 Creates an interactive shell through two inbound connections, encrypts using SSL via "-z" option
    cmd/unix/reverse_stub                                              Creates an interactive shell through an inbound connection (stub only, no payload)
    cmd/unix/reverse_tclsh                                             Creates an interactive shell via Tclsh
    cmd/unix/reverse_zsh                                               Connect back and create a command shell via Zsh. Note: Although Zsh is often available, please be aware it isn't usually installed by default.
    cmd/windows/adduser                                                Create a new user and add them to local administration group. Note: The specified password is checked for common complexity requirements to prevent the target machine rejecting the user for failing to meet policy requirements. Complexity check: 8-14 chars (1 UPPER, 1 lower, 1 digit/special)
    cmd/windows/bind_lua                                               Listen for a connection and spawn a command shell via Lua
    cmd/windows/bind_perl                                              Listen for a connection and spawn a command shell via perl (persistent)
    cmd/windows/bind_perl_ipv6                                         Listen for a connection and spawn a command shell via perl (persistent)
    cmd/windows/bind_ruby                                              Continually listen for a connection and spawn a command shell via Ruby
    cmd/windows/download_eval_vbs                                      Downloads a file from an HTTP(S) URL and executes it as a vbs script. Use it to stage a vbs encoded payload from a short command line.
    cmd/windows/download_exec_vbs                                      Download an EXE from an HTTP(S) URL and execute it
    cmd/windows/generic                                                Executes the supplied command
    cmd/windows/http/x64/custom/bind_ipv6_tcp                          Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Listen for an IPv6 connection (Windows x64)
    cmd/windows/http/x64/custom/bind_ipv6_tcp_uuid                     Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Listen for an IPv6 connection with UUID Support (Windows x64)
    cmd/windows/http/x64/custom/bind_named_pipe                        Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Listen for a pipe connection (Windows x64)
    cmd/windows/http/x64/custom/bind_tcp                               Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Listen for a connection (Windows x64)
    cmd/windows/http/x64/custom/bind_tcp_rc4                           Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Connect back to the attacker
    cmd/windows/http/x64/custom/bind_tcp_uuid                          Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Listen for a connection with UUID Support (Windows x64)
    cmd/windows/http/x64/custom/reverse_http                           Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Tunnel communication over HTTP (Windows x64 wininet)
    cmd/windows/http/x64/custom/reverse_https                          Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Tunnel communication over HTTP (Windows x64 wininet)
    cmd/windows/http/x64/custom/reverse_named_pipe                     Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Connect back to the attacker via a named pipe pivot
    cmd/windows/http/x64/custom/reverse_tcp                            Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Connect back to the attacker (Windows x64)
    cmd/windows/http/x64/custom/reverse_tcp_rc4                        Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Connect back to the attacker
    cmd/windows/http/x64/custom/reverse_tcp_uuid                       Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Connect back to the attacker with UUID Support (Windows x64)
    cmd/windows/http/x64/custom/reverse_winhttp                        Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Tunnel communication over HTTP (Windows x64 winhttp)
